Angelica palustris
Angelonia parviflora
Anginon sp.
Angiopteris madagascariensis
Angiopteris magna
Angiopteris sp.
Angraecum aloifolium
Angraecum bosseri
Angraecum calceolus
Angraecum comorense
Angraecum didieri
Angraecum didierii
Angraecum dollii
Angraecum eburneum
Angraecum eichlerianum
Angraecum elephantinum
Angraecum erectum
Angraecum germinyanum
Angraecum leonis
Angraecum longicalcar
Angraecum magdalenae
Angraecum peyrotii
Angraecum praestans
Angraecum protensum
Angraecum rutenbergianum
Angraecum scottianum
Angraecum sesquipedale
Angraecum sororium
Angraecum sp.
Angraecum stella-africae
Angraecum veitchii
Angraecum viguieri
Angraecum xerophilum
Anguloa cliftonii
Anguloa clowesii
Anguloa dubia
Anguloa ruckeri
Anguloa uniflora
Anchomanes dalzielii
Anchomanes difformis
Anchomanes giganteus
Anchomanes welwitschii
Anigozanthos flavidus
Anigozanthos viridis
Anisodontea capensis
Anisodus luridus
Anisodus tanguticus
Anisomeria littoralis
Annona cherimola
Annona montana
Annona sp.
Anoda cristata
Anodendron affine
Anoectochilus calcareus
Anoectochilus formosanus
Anoectochilus sp.
Anredera cordifolia
Ansellia africana
Antennaria aprica
Antennaria howellii
Antennaria chilensis
Antennaria parlinii
Anthemis aciphylla
Anthemis cretica
Anthemis marschalliana
Anthemis tinctoria
Anthericum liliago
Anthericum ramosum
Anthorrhiza bracteosa
Anthorrhiza chrysacantha
Anthorrhiza recurvispina
Anthoxanthum odoratum
Anthriscus sylvestris
Anthurium acutangulum
Anthurium alluriquense
Anthurium altaverapazense
Anthurium amnicola
Anthurium andreanum
Anthurium andreanum hybrid
Anthurium aponogetonifolium
Anthurium araliaefolium
Anthurium argyrostachyum
Anthurium arisaemoides
Anthurium bakeri
Anthurium beltianum
Anthurium berriozabalense
Anthurium bogotense
Anthurium breviscapum
Anthurium carinatum
Anthurium carla-blackiae
Anthurium clarinervium
Anthurium clavigerum
Anthurium coriaceum
Anthurium corrugatum
Anthurium crenatum
Anthurium croatiana
Anthurium crystallinum
Anthurium cubense
Anthurium cutucuense
Anthurium debilis
Anthurium decipiens
Anthurium digitatum
Anthurium dombeyanum
Anthurium draconopterum
Anthurium effusilobum
Anthurium eminens
Anthurium ernesti
Anthurium fastuosum
Anthurium fendleri
Anthurium fissum
Anthurium flexile
Anthurium forgetii
Anthurium friedrichsthalii
Anthurium furcatum
Anthurium gracile
Anthurium grubbii
Anthurium hookeri
Anthurium huixtlense
Anthurium chiapasense
Anthurium insigne
Anthurium interruptum
Anthurium itanhaense
Anthurium jenmannii
Anthurium lancea
Anthurium leuconeurum
Anthurium lilacinum
Anthurium llewelynii
Anthurium longissimum
Anthurium lucens
Anthurium luxurians
Anthurium macdanielii
Anthurium maculosum
Anthurium magnificum
Anthurium magnificum-hybrid
Anthurium metallicum
Anthurium mettalicum
Anthurium microphyllum
Anthurium montanum
Anthurium moronense
Anthurium obtusilobum
Anthurium obtusum
Anthurium ornatum
Anthurium oxyphyllum
Anthurium pallidiflorum
Anthurium panduriforme
Anthurium pandurilaminum
Anthurium paquishae
Anthurium paradisicum
Anthurium paraguayense
Anthurium paraguyaense
Anthurium parasiticum
Anthurium pedatoradiatum
Anthurium pedatum
Anthurium pendleri
Anthurium pendulifolium
Anthurium pentaphyllum
Anthurium pittieri
Anthurium polyrrhizon
Anthurium polyschistum
Anthurium ranchoanum
Anthurium reflexinervium
Anthurium regale
Anthurium salgarense
Anthurium salviniae
Anthurium sarukhanianum
Anthurium scandens
Anthurium scolopendrinum
Anthurium scherzerianum
Anthurium schlechtendalii
Anthurium sp.
Anthurium splendidum
Anthurium standleyi
Anthurium subcordatum
Anthurium ternifolium
Anthurium testaceum
Anthurium tetragonum
Anthurium timplowmanii
Anthurium titanium
Anthurium trinerve
Anthurium truncicola
Anthurium uleanum
Anthurium upalaense
Anthurium vanderknaapii
Anthurium veitchii
Anthurium venosum
Anthurium verapazense
Anthurium villaneurum
Anthurium villenaorum
Anthurium vittariifolium
Anthurium wagenerianum
Anthurium warocqueanum
Anthurium waterburyanum
Anthurium watermaliense
Anthurium wendlingeri
Anthurium willdenowii
Anthyllis barba-jovis
Anthyllis hermanniae
Anthyllis montana
Anthyllis vulneraria
Antiaris toxicaria
